  PID  PPID STARTED                      COMMAND
21415 21288 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/moai-mcp-cafe24
21416 21296 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/moai-mcp-threads-poster
21418 21282 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/moai-mcp-smartstore
21419 21281 Thu Sep  3 17:07:49 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/moai-mcp-cafe24
55272 60512 Thu Sep  3 18:32:19 2026     /bin/zsh -c source /Users/goos/.moai/claude-profiles/mo.ai.kr/shell-snapshots/snapshot-zsh-1788422389747-b0biwe.sh 2>/dev/null || true && export VERCEL_PLUGIN_BOOTSTRAP_HINTS="postgres,readme,redis"\012export VERCEL_PLUGIN_RESOURCE_HINTS="postgres,redis"\012export VERCEL_PLUGIN_SETUP_MODE="1"\012export MOAI_PROJECT_DIR="/Users/goos/MoAI/mo.ai.kr"\012: && setopt NO_EXTENDED_GLOB NO_BARE_GLOB_QUAL 2>/dev/null || true && { \builtin unalias -- 'unsetenv'; \builtin unset -f -- 'unsetenv'; } >/dev/null 2>&1 || true && eval 'cd /Users/goos/MoAI/mo.ai.kr/.claude/worktrees/t850/apps/www && PORT=3020 bun run dev > /tmp/t850-dev.log 2>&1' < /dev/null && pwd -P >| /tmp/claude-aea5-cwd
67216 28524 Fri Sep  4 18:34:58 2026     /bin/zsh -c source /Users/goos/.moai/claude-profiles/moai-adk/shell-snapshots/snapshot-zsh-1788347978918-7ug6k5.sh 2>/dev/null || true && export MOAI_PROJECT_DIR="/Users/goos/MoAI/moai-adk-go/.claude/worktrees/t485"\012: && setopt NO_EXTENDED_GLOB NO_BARE_GLOB_QUAL 2>/dev/null || true && { \builtin unalias -- 'unsetenv'; \builtin unset -f -- 'unsetenv'; } >/dev/null 2>&1 || true && eval 'timeout 2400 /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t485/.moai/reports/t485/raw/watch-indexlock.sh /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t485/.moai/reports/t485/raw 15000 0.12' < /dev/null && pwd -P >| /tmp/claude-7805-cwd
67224 67216 Fri Sep  4 18:34:58 2026     timeout 2400 /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t485/.moai/reports/t485/raw/watch-indexlock.sh /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t485/.moai/reports/t485/raw 15000 0.12
67229 67224 Fri Sep  4 18:34:58 2026     /bin/bash /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t485/.moai/reports/t485/raw/watch-indexlock.sh /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t485/.moai/reports/t485/raw 15000 0.12
71341 71146 Fri Sep  4 18:35:37 2026     /Applications/Xcode.app/Contents/Developer/usr/bin/git clean -ffdx
71482 22780 Fri Sep  4 18:35:39 2026     /bin/bash /Users/goos/.moai/bin/cc-statusline.sh
71486 71482 Fri Sep  4 18:35:39 2026     moai statusline
71489 31922 Fri Sep  4 18:35:39 2026     moai statusline
71493 13852 Fri Sep  4 18:35:39 2026     /bin/bash /Users/goos/.moai/bin/cc-statusline.sh
71500 71493 Fri Sep  4 18:35:39 2026     moai statusline
71551 71486 Fri Sep  4 18:35:39 2026     /Applications/Xcode.app/Contents/Developer/usr/bin/git status --porcelain
71553 71500 Fri Sep  4 18:35:39 2026     (git)
71556 71489 Fri Sep  4 18:35:39 2026     /Applications/Xcode.app/Contents/Developer/usr/bin/git status --porcelain
71565 67229 Fri Sep  4 18:35:39 2026     awk NR==1 || /git|statusline|moai/
72871 31922 Thu Sep  3 18:34:53 2026     /bin/zsh -c source /Users/goos/.moai/claude-profiles/mo.ai.kr/shell-snapshots/snapshot-zsh-1788298688475-1szdue.sh 2>/dev/null || true && export VERCEL_PLUGIN_BOOTSTRAP_HINTS="postgres,readme,redis"\012export VERCEL_PLUGIN_RESOURCE_HINTS="postgres,redis"\012export VERCEL_PLUGIN_SETUP_MODE="1"\012export MOAI_PROJECT_DIR="/Users/goos/MoAI/mo.ai.kr"\012: && setopt NO_EXTENDED_GLOB NO_BARE_GLOB_QUAL 2>/dev/null || true && { \builtin unalias -- 'unsetenv'; \builtin unset -f -- 'unsetenv'; } >/dev/null 2>&1 || true && eval 'cd /Users/goos/MoAI/mo.ai.kr/apps/www && bun run dev --port 3010 2>&1 | tail -20' < /dev/null && pwd -P >| /tmp/claude-dd7a-cwd
93790 87917 Wed Sep  2 07:12:45 2026     claude --permission-mode bypassPermissions --no-chrome --model claude-opus-5[1m] --name lead-1 --settings /var/folders/kt/nq2q81cn4gx3y41r7x47ggmr0000gn/T/moai-kanban-93790-1788300765408201000.json
93984 93790 Wed Sep  2 07:12:46 2026     moai mcp-server
16506  2371 Wed Sep  2 20:11:19 2026     claude --permission-mode bypassPermissions --no-chrome --model claude-opus-5[1m] --name lane-12 --settings /var/folders/kt/nq2q81cn4gx3y41r7x47ggmr0000gn/T/moai-kanban-16506-1788347479946503000.json
25016 16506 Thu Sep  3 18:53:44 2026     moai mcp-server
 2860 95543 Wed Sep  2 07:14:09 2026     claude --permission-mode bypassPermissions --no-chrome --model claude-opus-5[1m] --name lane-3 --settings /var/folders/kt/nq2q81cn4gx3y41r7x47ggmr0000gn/T/moai-kanban-2860-1788300849236146000.json
33834  2860 Fri Sep  4 06:10:37 2026     moai mcp-server
11632 95822 Wed Sep  2 07:15:46 2026     claude --permission-mode bypassPermissions --no-chrome --model opus[1m] --name lane-7 --settings /var/folders/kt/nq2q81cn4gx3y41r7x47ggmr0000gn/T/moai-kanban-11632-1788300947028632000.json
 3441 96085 Wed Sep  2 07:14:13 2026     claude --permission-mode bypassPermissions --no-chrome --model claude-opus-5[1m] --name lane-4 --settings /var/folders/kt/nq2q81cn4gx3y41r7x47ggmr0000gn/T/moai-kanban-3441-1788300853602580000.json
15021  3441 Thu Sep  3 15:44:16 2026     moai mcp-server
22780  2568 Wed Sep  2 20:11:32 2026     claude --permission-mode bypassPermissions --no-chrome --model opus[1m] --name lane-13 --settings /var/folders/kt/nq2q81cn4gx3y41r7x47ggmr0000gn/T/moai-kanban-22780-1788347493042196000.json
31553 22780 Thu Sep  3 16:23:49 2026     moai mcp-server
33590 86899 Wed Sep  2 06:37:21 2026     claude --permission-mode bypassPermissions --no-chrome --model claude-opus-5[1m] --name lane-1 --settings /var/folders/kt/nq2q81cn4gx3y41r7x47ggmr0000gn/T/moai-kanban-33590-1788298641883045000.json
78436 33590 Fri Sep  4 04:02:30 2026     moai mcp-server
31922 65572 Wed Sep  2 06:37:00 2026     claude --permission-mode bypassPermissions --no-chrome --model claude-opus-5[1m] --name lead --settings /var/folders/kt/nq2q81cn4gx3y41r7x47ggmr0000gn/T/moai-kanban-31922-1788298620222246000.json
31991 31922 Wed Sep  2 06:37:01 2026     moai mcp-server
34711 88430 Wed Sep  2 06:37:29 2026     claude --permission-mode bypassPermissions --no-chrome --model claude-opus-5[1m] --name lane-4 --settings /var/folders/kt/nq2q81cn4gx3y41r7x47ggmr0000gn/T/moai-kanban-34711-1788298649189470000.json
94915 23894 Wed Sep  2 07:12:54 2026     claude --permission-mode bypassPermissions --no-chrome --model claude-opus-5[1m] --name lane-1 --settings /var/folders/kt/nq2q81cn4gx3y41r7x47ggmr0000gn/T/moai-kanban-94915-1788300774631705000.json
