SPEC-ID                        Frontmatter          Git-Implied          Drift?    
SPEC-MODEL-ROUTING-WIRE-001    superseded           terminal-exempt      aligned   
SPEC-MODEL-TIER-PLANTYPE-001   completed            in-progress          DRIFT     
SPEC-MX-001                    implemented          era-exempt           aligned   
SPEC-MX-002                    completed            era-exempt           aligned   
SPEC-MX-ASSOCIATION-001        completed            implemented          DRIFT     
SPEC-MX-SCANNER-DOCS-001       completed            implemented          DRIFT     
SPEC-NAVIGATOR-SYNC-001        completed            implemented          DRIFT     
SPEC-NAVIGATOR-SYNC-002        completed            completed            aligned   
SPEC-NAVIGATOR-SYNC-003        completed            in-progress          DRIFT     
SPEC-NAVIGATOR-SYNC-004        completed            implemented          DRIFT     
SPEC-NAVIGATOR-SYNC-005        completed            implemented          DRIFT     
SPEC-NO-HYBRID-001             archived             terminal-exempt      aligned   
SPEC-OBS-ENABLED-GATE-001      completed            implemented          DRIFT     
SPEC-OBSERVE-001               implemented          era-exempt           aligned   
SPEC-OBSERVE-HYGIENE-001       completed            in-progress          DRIFT     
SPEC-OPUS47-COMPAT-001         completed            era-exempt           aligned   
SPEC-ORCH-GIT-RELAX-001        completed            completed            aligned   
SPEC-OWASP-CHECKLIST-GAP-001   completed            implemented          DRIFT     
SPEC-PARALLEL-COOK-001         archived             terminal-exempt      aligned   
SPEC-PERSIST-001               implemented          era-exempt           aligned   
SPEC-PHASE-FIELD-VALIDATION-001 completed            implemented          DRIFT     
SPEC-PHASE-FRONTMATTER-OWNER-001 completed            implemented          DRIFT     
SPEC-PIPELINE-FANOUT-ACTIVATION-001 completed            implemented          DRIFT     
SPEC-PLAYWRIGHT-001            implemented          era-exempt           aligned   
SPEC-PRECOMMIT-001             completed            in-progress          DRIFT     
SPEC-PRECOMMIT-PRESERVE-001    completed            in-progress          DRIFT     
SPEC-PREEDIT-PARALLEL-SESSION-GUARD-001 completed            completed            aligned   
SPEC-PREPUSH-LOADER-WIRING-001 completed            completed            aligned   
SPEC-PREPUSH-MODE-WIRING-001   completed            completed            aligned   
SPEC-PREPUSH-SAVE-WIRING-001   completed            completed            aligned   
SPEC-PREPUSH-WIRING-001        completed            era-exempt           aligned   
SPEC-PRETOOL-GATE-MOVE-001     completed            implemented          DRIFT     
SPEC-PROFILE-MEMORY-001        completed            implemented          DRIFT     
SPEC-PROGRESS-MARKER-CANON-001 completed            completed            aligned   
SPEC-PROJECT-DB-HINT-001       implemented          era-exempt           aligned   
SPEC-PROJECT-HARNESS-BRIDGE-001 completed            in-progress          DRIFT     
SPEC-PROJECT-NAVIGATOR-001     completed            implemented          DRIFT     
SPEC-PROJECT-NAVIGATOR-002     completed            implemented          DRIFT     
SPEC-PROJECT-NAVIGATOR-003     completed            completed            aligned   
SPEC-PROJECT-NAVIGATOR-004     completed            in-progress          DRIFT     
SPEC-PSR-001                   implemented          era-exempt           aligned   
SPEC-QUALITY-001               implemented          era-exempt           aligned   
SPEC-RALPH-CONFIG-REDESIGN-001 completed            implemented          DRIFT     
SPEC-REF-SEO-ABSORB-001        completed            implemented          DRIFT     
SPEC-REFACTOR-001              implemented          era-exempt           aligned   
SPEC-REFLECT-001               Draft                era-exempt           aligned   
SPEC-RESUME-MSG-001            archived             terminal-exempt      aligned   
SPEC-RETRY-IDEMPOTENCY-001     completed            completed            aligned   
SPEC-RULE-DIET-002             completed            completed            aligned   
SPEC-SDD-001                   completed            era-exempt           aligned   
SPEC-SEARCH-001                implemented          era-exempt           aligned   
SPEC-SEC-HARDEN-001            completed            completed            aligned   
SPEC-SEC-HARDEN-002            completed            completed            aligned   
SPEC-SEC-HARDEN-003            completed            completed            aligned   
SPEC-SEC-HARDEN-004            completed            completed            aligned   
SPEC-SEC-HARDEN-005            completed            completed            aligned   
SPEC-SEC-SCAN-SURFACE-001      in-progress          era-exempt           aligned   
SPEC-SECURITY-001              implemented          era-exempt           aligned   
SPEC-SEMAP-001                 implemented          era-exempt           aligned   
SPEC-SESSION-HANDOFF-ALIGN-001 completed            completed            aligned   
SPEC-SESSION-WORKTREE-001      completed            in-progress          DRIFT     
SPEC-SESSIONSTART-PERF-001     completed            in-progress          DRIFT     
SPEC-SIMPLICITY-AUDIT-001      completed            in-progress          DRIFT     
SPEC-SIMPLICITY-LADDER-001     completed            completed            aligned   
SPEC-SIMPLICITY-LADDER-002     completed            implemented          DRIFT     
SPEC-SKILL-002                 implemented          era-exempt           aligned   
SPEC-SKILL-BODY-NEUTRALITY-001 completed            in-progress          DRIFT     
SPEC-SKILL-DESC-001            archived             terminal-exempt      aligned   
SPEC-SKILL-ENHANCE-001         Draft                era-exempt           aligned   
SPEC-SKILL-GATE-001            implemented          era-exempt           aligned   
SPEC-SLE-001                   implemented          era-exempt           aligned   
SPEC-SLQG-001                  implemented          era-exempt           aligned   
SPEC-SLV3-001                  implemented          era-exempt           aligned   
SPEC-SRS-001                   implemented          era-exempt           aligned   
SPEC-SRS-002                   implemented          era-exempt           aligned   
SPEC-SRS-003                   implemented          era-exempt           aligned   
SPEC-STATUS-AUTO-001           implemented          era-exempt           aligned   
SPEC-STATUSLINE-001            implemented          era-exempt           aligned   
SPEC-STATUSLINE-002            implemented          era-exempt           aligned   
SPEC-STATUSLINE-WINDOWS-FALLBACK-001 completed            completed            aligned   
SPEC-STEERING-ALIGN-CLAUDEMD-DIET-001 completed            completed            aligned   
SPEC-STEERING-ALIGN-GUARDRAIL-HOOK-001 completed            in-progress          DRIFT     
SPEC-STEERING-ALIGN-LOCAL-DIET-001 completed            in-progress          DRIFT     
SPEC-STEERING-ALIGN-OUTPUT-STYLE-SLIM-001 completed            in-progress          DRIFT     
SPEC-STEERING-ALIGN-RULE-SCOPING-001 completed            completed            aligned   
SPEC-STOP-EVIDENCE-GATE-001    completed            completed            aligned   
SPEC-STOP-EVIDENCE-WRITER-001  completed            completed            aligned   
SPEC-STOP-HOOK-001             archived             terminal-exempt      aligned   
SPEC-SUBAGENT-NESTING-DOCTRINE-001 completed            implemented          DRIFT     
SPEC-SUBCOMMAND-RETIRE-001     completed            in-progress          DRIFT     
SPEC-SUNSET-001                implemented          era-exempt           aligned   
SPEC-SVG-GEOMETRY-CHECKS-001   completed            in-progress          DRIFT     
SPEC-SVG-QUALITY-ABSORB-001    completed            completed            aligned   
SPEC-SYNC-AUDIT-FALSIFICATION-001 completed            implemented          DRIFT     
SPEC-SYNC-PARALLEL-DOCS-001    completed            completed            aligned   
SPEC-TDD-ANTICHEAT-001         completed            implemented          DRIFT     
SPEC-TEAM-001                  implemented          era-exempt           aligned   
SPEC-TELEMETRY-001             Implemented          era-exempt           aligned   
SPEC-TEMPLATE-001              completed            era-exempt           aligned   
SPEC-TEMPLATE-DATE-NEUTRALITY-001 completed            completed            aligned   
SPEC-TEMPLATE-DATE-NEUTRALITY-002 completed            implemented          DRIFT     
SPEC-TEMPLATE-I18N-CANONICAL-001 completed            completed            aligned   
SPEC-TEMPLATE-RULES-CLEANUP-001 completed            implemented          DRIFT     
SPEC-TEST-AUTH-001             archived             terminal-exempt      aligned   
SPEC-TEST-ORC-LIKE-001         archived             terminal-exempt      aligned   
SPEC-TEST-OVERRIDE-001         archived             terminal-exempt      aligned   
SPEC-TODO-ANALYSIS-001         completed            in-progress          DRIFT     
SPEC-TODO-ENABLE-FLAG-001      completed            in-progress          DRIFT     
SPEC-TOKEN-001                 implemented          era-exempt           aligned   
SPEC-TOKEN-ACCOUNTING-001      completed            completed            aligned   
SPEC-TOKEN-BUDGET-STOP-001     completed            in-progress          DRIFT     
SPEC-TOKEN-EFFICIENCY-001      completed            in-progress          DRIFT     
SPEC-TOKEN-ROUTING-001         completed            implemented          DRIFT     
