cited_path	first_citing_doc	resolves_in_primary	resolves_in_worktree
.moai/state/verify/af9f2ca2/head.txt	.moai/specs/SPEC-GATE-THREE-AXES-001/progress.md	False	False
.moai/state/verify/f8b69364-2efb-45b2-9f40-1a60525d7c52/t310-ac-battery.txt	.moai/specs/SPEC-GITFLOW-DOCTRINE-ALIGN-001/progress.md	False	False
.moai/state/verify/t175/red-output-pre-green.txt	.moai/specs/SPEC-GLM-EFFORT-MAX-001/progress.md	False	False
.moai/state/verify/t322-m1	.moai/specs/SPEC-GRAPH-FRESHNESS-CADENCE-001/progress.md	False	False
.moai/state/verify/t322-m2/axis-raw.txt	.moai/specs/SPEC-GRAPH-FRESHNESS-CADENCE-001/progress.md	False	False
.moai/state/verify/t322-m2/axes.py	.moai/specs/SPEC-GRAPH-FRESHNESS-CADENCE-001/progress.md	False	False
.moai/state/verify/onepaste-run	.moai/specs/SPEC-HANDOFF-ONEPASTE-001/progress.md	True	False
.moai/state/verify/cadence-build	.moai/specs/SPEC-HARNESS-CADENCE-BUILD-001/progress.md	False	False
.moai/state/verify/m1	.moai/specs/SPEC-HARNESS-LOOP-REPAIR-001/progress.md	True	False
.moai/state/verify/hns-rename	.moai/specs/SPEC-HNS-PREFIX-RENAME-001/progress.md	False	False
.moai/state/verify/hfc001/1-go-test.log	.moai/specs/SPEC-HOOK-FAILURE-CLASSIFY-001/progress.md	True	False
.moai/state/verify/hook-official-final	.moai/specs/SPEC-HOOK-OFFICIAL-COMPLIANCE-001/progress.md	False	False
.moai/state/verify/t336/baseline-kanban.txt	.moai/specs/SPEC-INTEGRATION-LOCK-ATOMIC-001/progress.md	False	False
.moai/state/verify/t336/m1-red-attempt1.txt	.moai/specs/SPEC-INTEGRATION-LOCK-ATOMIC-001/progress.md	False	False
.moai/state/verify/t336/m5-guard-disabled.txt	.moai/specs/SPEC-INTEGRATION-LOCK-ATOMIC-001/progress.md	False	False
.moai/state/verify/t298-m1/red-run.txt	.moai/specs/SPEC-INTEGRATION-LOCK-LIVENESS-001/progress.md	False	False
.moai/state/verify/538fe6ae	.moai/specs/SPEC-INTERNAL-TEST-003/progress.md	True	False
.moai/state/verify/538fe6ae/test-003-statusline-golden.log	.moai/specs/SPEC-INTERNAL-TEST-003/progress.md	True	False
.moai/state/verify/538fe6ae/test-003-ac006-wholerepo.log	.moai/specs/SPEC-INTERNAL-TEST-003/progress.md	True	False
.moai/state/verify/538fe6ae/{test-003-ac006-wholerepo	.moai/specs/SPEC-INTERNAL-TEST-003/progress.md	False	False
.moai/state/verify/538fe6ae/test-004-golden-fail-detail.log	.moai/specs/SPEC-INTERNAL-TEST-004/progress.md	True	False
.moai/state/verify/kr-rename	.moai/specs/SPEC-KANBAN-RENAME-001/progress.md	False	False
.moai/state/verify/mcp-m2/red_codex_audit.txt	.moai/specs/SPEC-MOAI-MCP-SERVER-001/progress.md	False	False
.moai/state/verify/mcp-m3/red_config.txt	.moai/specs/SPEC-MOAI-MCP-SERVER-001/progress.md	False	False
.moai/state/verify/mcp-m3/red_glm_audit.txt	.moai/specs/SPEC-MOAI-MCP-SERVER-001/progress.md	False	False
.moai/state/verify/mcp-m4/full_suite.txt	.moai/specs/SPEC-MOAI-MCP-SERVER-001/progress.md	False	False
.moai/state/verify/mcp-m4/red_wizard_audit.txt	.moai/specs/SPEC-MOAI-MCP-SERVER-001/progress.md	False	False
.moai/state/verify/SPEC-MOAI-WORKFLOW-SCHEDULE-001/1-gotest.log	.moai/specs/SPEC-MOAI-WORKFLOW-SCHEDULE-001/progress.md	True	False
.moai/state/verify/t342/pre-strict.txt	.moai/specs/SPEC-MOVING-REF-GUARD-001/progress.md	False	False
.moai/state/verify/t342/post-strict.txt	.moai/specs/SPEC-MOVING-REF-GUARD-001/progress.md	False	False
.moai/state/verify/t342/post-plain.txt	.moai/specs/SPEC-MOVING-REF-GUARD-001/progress.md	False	False
.moai/state/verify/t342/pkg-test.txt	.moai/specs/SPEC-MOVING-REF-GUARD-001/progress.md	False	False
.moai/state/verify/pfv	.moai/specs/SPEC-PHASE-FIELD-VALIDATION-001/acceptance.md	False	False
.moai/state/verify/pfv/ac001	.moai/specs/SPEC-PHASE-FIELD-VALIDATION-001/acceptance.md	False	False
.moai/state/verify/pfv/ac001.json	.moai/specs/SPEC-PHASE-FIELD-VALIDATION-001/acceptance.md	False	False
.moai/state/verify/pfv/ac003.txt	.moai/specs/SPEC-PHASE-FIELD-VALIDATION-001/acceptance.md	False	False
.moai/state/verify/pfv/after.json	.moai/specs/SPEC-PHASE-FIELD-VALIDATION-001/acceptance.md	False	False
.moai/state/verify/pfv/before.json	.moai/specs/SPEC-PHASE-FIELD-VALIDATION-001/acceptance.md	False	False
.moai/state/verify/pfv/err-before.txt	.moai/specs/SPEC-PHASE-FIELD-VALIDATION-001/acceptance.md	False	False
.moai/state/verify/pfv/err-after.txt	.moai/specs/SPEC-PHASE-FIELD-VALIDATION-001/acceptance.md	False	False
.moai/state/verify/pfv/ac014.txt	.moai/specs/SPEC-PHASE-FIELD-VALIDATION-001/acceptance.md	False	False
.moai/state/verify/t230	.moai/specs/SPEC-PRECOMMIT-PRESERVE-001/progress.md	False	False
.moai/state/verify/t230/v312-hook.txt	.moai/specs/SPEC-PRECOMMIT-PRESERVE-001/progress.md	False	False
.moai/state/verify/60d180f8	.moai/specs/SPEC-PRETOOL-GATE-MOVE-001/progress.md	False	False
.moai/state/verify/deepscan-001/ac_matrix.log	.moai/specs/SPEC-SEC-DEEPSCAN-001/progress.md	True	False
.moai/state/verify/t217/template-leak-strict.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/acceptance.md	False	False
.moai/state/verify/t217	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/red.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/red-security.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/red-hook.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/red-template.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/test-hook-retry.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/test-cli-retry.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/isolated-unreadable.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/test-cli.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/driftcheck-pairaxis.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/driftcheck-guarded.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/make-build.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/go-build.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/go-vet.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
